Year,NAO_DJFM
1960,-1.81
1961,0.74
1962,-0.92
1963,-1.29
1964,-0.88
1965,-0.81
1966,-1.56
1967,0.62
1968,-0.15
1969,-2.57
1970,-1.15
1971,-0.66
1972,0.12
1973,1.2
1974,0.37
1975,0.74
1976,1.22
1977,-1.34
1978,-0.55
1979,-1.44
1980,-0.35
1981,0.29
1982,-0.21
1983,1.29
1984,0.43
1985,-0.8
1986,-0.01
1987,-0.66
1988,-0.17
1989,2.46
1990,1.91
1991,0.56
1992,1.76
1993,1.76
1994,0.87
1995,1.29
1996,-1.44
1997,0.71
1998,-0.01
1999,0.66
2000,1.61
2001,-1.01
2002,0.62
2003,0.05
2004,-0.12
2005,0.36
2006,-0.9
2007,1.16
2008,1.06
2009,0.04
2010,-2.57
2011,-0.68
2012,1.6
2013,-1.68
2014,0.91
2015,1.87
2016,1
2017,0.89
2018,-0.16
2019,0.76
